   1 |  Pre-Init  |0000000117| System ACPI Power State #0xaa | S0/G0: working | Asserted
   2 |  Pre-Init  |0000000146| System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   3 |  Pre-Init  |0000000150| System ACPI Power State #0xaa | S0/G0: working | Asserted
   4 |  Pre-Init  |0000000186| System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   5 |  Pre-Init  |0000000187| System ACPI Power State #0xaa | S0/G0: working | Asserted
   6 |  Pre-Init  |0000000240| System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   7 |  Pre-Init  |0000000244| System ACPI Power State #0xaa | S0/G0: working | Asserted
   8 | 01/01/2001 | 12:02:33 AM UTC | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
   9 | 01/01/2001 | 12:02:37 AM UTC | System ACPI Power State #0xaa | S0/G0: working | Asserted
   a | 01/01/2001 | 12:04:18 AM UTC | OS Boot | C: boot completed | Asserted
   b | 01/01/2001 | 12:04:18 AM UTC | OEM record dc | 000137 | 003ff79b5c00
   c | 01/01/2001 | 12:26:39 AM UTC | OS Critical Stop | OS graceful shutdown | Asserted
   d | 01/01/2001 | 12:26:39 AM UTC | OEM record dd | 000137 | 00ff00050000
   e |  Pre-Init  |0000000082| System ACPI Power State #0xaa | S0/G0: working | Asserted
   f | 04/15/2019 | 06:29:02 PM UTC | Chassis #0xac | Transition to Non-critical from OK | Asserted
  10 | 04/15/2019 | 06:29:14 PM UTC | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  11 | 04/15/2019 | 06:29:17 PM UTC | System ACPI Power State #0xaa | S0/G0: working | Asserted
  12 | 04/15/2019 | 06:29:39 PM UTC | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  13 | 04/15/2019 | 06:29:39 PM UTC | System ACPI Power State #0xaa | S0/G0: working | Asserted
  14 | 04/15/2019 | 06:31:22 PM UTC | Chassis #0xac | Transition to Non-critical from OK | Asserted
  15 | 04/15/2019 | 06:31:35 PM UTC | Chassis #0xac | Transition to Non-critical from OK | Asserted
  16 | 04/15/2019 | 06:31:36 PM UTC | Chassis #0xac | Transition to Non-critical from OK | Asserted
  17 | 04/15/2019 | 06:31:40 PM UTC | Chassis #0xac | Transition to Non-critical from OK | Asserted
