  3f | 10/04/2019 | 04:13:44 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  40 | 10/04/2019 | 05:14:30 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  41 | 03/10/2020 | 08:56:31 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  42 | 05/05/2020 | 06:19:13 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  43 | 05/05/2020 | 06:42:48 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  44 | 05/22/2020 | 10:26:57 AM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  45 | 09/24/2020 | 10:57:49 AM KST | Power Supply #0x32 | Failure detected | Asserted
  46 | 09/24/2020 | 10:57:51 AM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  47 | 09/24/2020 | 10:57:51 AM KST | Power Supply #0x42 | Redundancy Lost | Asserted
  48 | 09/24/2020 | 10:57:55 AM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  49 | 09/24/2020 | 11:19:02 AM KST | Power Supply #0x42 | Redundancy Lost | Deasserted
  4a | 12/07/2020 | 05:55:22 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  4b |  Pre-Init  |0000000105| System ACPI Power State #0xaa | S0/G0: working | Asserted
  4c | 12/07/2020 | 06:54:29 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  4d | 07/27/2021 | 06:29:22 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  4e | 01/18/2022 | 05:07:51 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  4f | 01/18/2022 | 05:21:47 PM KST | System ACPI Power State #0xaa | S0/G0: working | Asserted
  50 | 03/31/2023 | 01:14:53 PM KST | System ACPI Power State #0xaa | S4/S5: soft-off | Asserted
  51 |  Pre-Init  |0000000095| System ACPI Power State #0xaa | S0/G0: working | Asserted
  52 | 03/31/2023 | 02:43:58 PM KST | Power Supply #0x32 | Failure detected | Asserted
  53 | 03/31/2023 | 02:43:58 PM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  54 | 03/31/2023 | 02:43:58 PM KST | Power Supply #0x42 | Redundancy Lost | Asserted
  55 | 03/31/2023 | 02:44:01 PM KST | Power Supply #0x32 | Failure detected | Asserted
  56 | 03/31/2023 | 02:44:01 PM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  57 | 03/31/2023 | 02:44:02 PM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  58 | 03/31/2023 | 02:44:02 PM KST | Power Supply #0x32 | Failure detected | Asserted
  59 | 03/31/2023 | 02:44:02 PM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  5a | 03/31/2023 | 02:44:11 PM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
  5b | 03/31/2023 | 02:44:11 PM KST | Power Supply #0x32 | Failure detected | Asserted
  5c | 03/31/2023 | 02:44:11 PM KST | Power Supply #0x32 | Power Supply AC lost | Asserted
  5d | 03/31/2023 | 02:44:12 PM KST | Chassis #0xac | Transition to Non-critical from OK | Asserted
